Invoice Number,Invoice Date,Invoice Type,Sales Return Number,Shipment Number,Sales Order Number,Customer Code,Party Group,Site,Rounded Amount,Invoice Status
920022044,06-06-2024,Tax Invoice,,802024603,210022579,100871,D ZONE,Pasta& Vermicelli,1513,Approved
949903614,04-06-2024,Tax Invoice,,813003763,407003725,100871,D ZONE,Tea,26392,Approved
949903619,06-06-2024,Tax Invoice,,813003773,407003735,100871,D ZONE,Tea,4468,Approved
965012711,03-06-2024,Bill of Supply,,86012917,330012924,100871,D ZONE,Spices,7959,Approved
965012725,05-06-2024,Bill of Supply,,86012931,330012938,100871,D ZONE,Spices,7959,Approved
910037934,04-06-2024,Tax Invoice,,800041785,200038047,100947,Others,Spices,6573,Approved
920022051,06-06-2024,Tax Invoice,,802024615,210022590,100947,Others,Pasta& Vermicelli,9496,Approved
910037927,04-06-2024,Tax Invoice,,800041783,200038008,100948,B ZONE,Spices,963204,Approved
910037979,06-06-2024,Tax Invoice,,800041837,200038087,100948,B ZONE,Spices,667344,Approved
920022020,04-06-2024,Tax Invoice,,802024582,210022561,100948,B ZONE,Pasta& Vermicelli,27274,Approved
920022053,06-06-2024,Tax Invoice,,802024612,210022587,100948,B ZONE,Pasta& Vermicelli,27274,Approved
965012714,04-06-2024,Bill of Supply,,86012921,330012928,100948,B ZONE,Spices,7874,Approved
910037985,06-06-2024,Tax Invoice,,800041846,200038108,100951,B ZONE,Spices,120230,Approved
920022058,06-06-2024,Tax Invoice,,802024622,210022596,100951,B ZONE,Pasta& Vermicelli,62896,Approved
949903622,06-06-2024,Tax Invoice,,813003776,407003738,100951,B ZONE,Tea,8936,Approved
910037931,04-06-2024,Tax Invoice,,800041787,200038046,100975,B ZONE,Spices,514375,Approved
920022021,04-06-2024,Tax Invoice,,802024584,210022562,100975,B ZONE,Pasta& Vermicelli,13020,Approved
965012716,04-06-2024,Bill of Supply,,86012922,330012929,100975,B ZONE,Spices,3976,Approved
910037896,03-06-2024,Tax Invoice,,800041762,200038024,100981,MT Zone,Spices,117,Approved
910037897,03-06-2024,Tax Invoice,,800041749,200038015,100981,MT Zone,Spices,3744,Approved
910038001,07-06-2024,Tax Invoice,,800041826,200038089,100982,MT Zone,Spices,156879,Approved
910038002,07-06-2024,Tax Invoice,,800041827,200038091,100982,MT Zone,Spices,67840,Approved
910038003,07-06-2024,Tax Invoice,,800041828,200038092,100982,MT Zone,Spices,106000,Approved
910038004,07-06-2024,Tax Invoice,,800041829,200038093,100982,MT Zone,Spices,106000,Approved
910037926,04-06-2024,Tax Invoice,,800041781,200038045,101012,E ZONE,Spices,184903,Approved
920022014,04-06-2024,Tax Invoice,,802024579,210022558,101012,E ZONE,Pasta& Vermicelli,30225,Approved
949903611,04-06-2024,Tax Invoice,,813003766,407003728,101012,E ZONE,Tea,5357,Approved
965012713,04-06-2024,Bill of Supply,,86012920,330012927,101012,E ZONE,Spices,11927,Approved
910037953,05-06-2024,Tax Invoice,,800041803,200038058,101027,"ZONE- 10, MC",Spices,126689,Approved
920022038,05-06-2024,Tax Invoice,,802024597,210022568,101027,"ZONE- 10, MC",Pasta& Vermicelli,29056,Approved
965012722,05-06-2024,Bill of Supply,,86012928,330012931,101027,"ZONE- 10, MC",Spices,5850,Approved
910037994,06-06-2024,Tax Invoice,,800041857,200038118,101041,F ZONE,Spices,662472,Approved
965012731,06-06-2024,Bill of Supply,,86012938,330012945,101041,F ZONE,Spices,7952,Approved
910037887,03-06-2024,Tax Invoice,,800041739,200037999,101042,MT Zone,Spices,22028,Approved
910038000,07-06-2024,Tax Invoice,,800041839,200038102,101046,MT Zone,Spices,20435,Approved
910037995,06-06-2024,Tax Invoice,,800041852,200038113,101055,A1 ZONE,Spices,27252,Approved
920022064,07-06-2024,Tax Invoice,,802024623,210022597,101055,A1 ZONE,Pasta& Vermicelli,6440,Approved
965012732,06-06-2024,Bill of Supply,,86012936,330012943,101055,A1 ZONE,Spices,7866,Approved
910037963,05-06-2024,Tax Invoice,,800041802,200038066,101060,F ZONE,Spices,60113,Approved
910037976,06-06-2024,Tax Invoice,,800041841,200038103,101066,B ZONE,Spices,619722,Approved
910038016,07-06-2024,Tax Invoice,,800041873,200038138,101066,B ZONE,Spices,9084,Approved
910037885,01-06-2024,Tax Invoice,,800041736,200037996,101071,D ZONE,Spices,396982,Approved
965012702,01-06-2024,Bill of Supply,,86012907,330012914,101071,D ZONE,Spices,3976,Approved
910038022,07-06-2024,Tax Invoice,,800041877,200038142,101089,E ZONE,Spices,142161,Approved
965012737,07-06-2024,Bill of Supply,,86012943,330012953,101089,E ZONE,Spices,6361,Approved
910037921,04-06-2024,Tax Invoice,,800041776,200038037,101093,MT Zone,Spices,130414,Approved
910037948,05-06-2024,Tax Invoice,,800041801,200038065,101093,MT Zone,Spices,5062,Approved
910037997,07-06-2024,Tax Invoice,,800041849,200038110,101121,MT Zone,Spices,64377,Approved
910037998,07-06-2024,Tax Invoice,,800041851,200038112,101121,MT Zone,Spices,127949,Approved
910037922,04-06-2024,Tax Invoice,,800041743,200038005,101150,MT Zone,Spices,6123,Approved
910037923,04-06-2024,Tax Invoice,,800041764,200038026,101150,MT Zone,Spices,33829,Approved
910037924,04-06-2024,Tax Invoice,,800041768,200038030,101150,MT Zone,Spices,40595,Approved
910037947,05-06-2024,Tax Invoice,,800041800,200038064,101150,MT Zone,Spices,45749,Approved
910038005,07-06-2024,Tax Invoice,,800041863,200038126,101150,MT Zone,Spices,90926,Approved
910038006,07-06-2024,Tax Invoice,,800041865,200038128,101150,MT Zone,Spices,5455,Approved
920022012,04-06-2024,Tax Invoice,,802024568,210022544,101150,MT Zone,Pasta& Vermicelli,691,Approved
920022061,07-06-2024,Tax Invoice,,802024631,210022605,101150,MT Zone,Pasta& Vermicelli,3686,Approved
910037932,04-06-2024,Tax Invoice,,800041782,200038038,101154,"ZONE- 10, MC",Spices,52899,Approved
920022022,04-06-2024,Tax Invoice,,802024583,210022557,101154,"ZONE- 10, MC",Pasta& Vermicelli,173896,Approved
910037950,05-06-2024,Tax Invoice,,800041798,200038057,101155,"ZONE- 10, MC",Spices,135293,Approved
920022035,05-06-2024,Tax Invoice,,802024591,210022566,101155,"ZONE- 10, MC",Pasta& Vermicelli,137099,Approved
910037943,04-06-2024,Tax Invoice,,800041790,200038051,101158,B ZONE,Spices,208619,Approved
910038025,07-06-2024,Tax Invoice,,800041875,200038140,101158,B ZONE,Spices,811739,Approved
910037970,05-06-2024,Tax Invoice,,800041824,200038085,101166,D ZONE,Spices,447380,Approved
910038017,07-06-2024,Tax Invoice,,800041872,200038137,101176,C ZONE,Spices,763727,Approved
920022067,07-06-2024,Tax Invoice,,802024637,210022614,101176,C ZONE,Pasta& Vermicelli,27308,Approved
965012736,07-06-2024,Bill of Supply,,86012942,330012952,101176,C ZONE,Spices,7866,Approved
